costat,curcd,datafmt,indfmt,consol,tic,datadate,gvkey,conm,exchg,fyear,ap,at,che,lt,rect,wcap,dp,ebitda,ni,sale,xsga,capx,csho,prcc_f,sich,company_clean,ma_target,total_debt,ebitda_margin,leverage,capex_intensity,roa,current_ratio,market_cap,ev_ebitda,asset_turnover,cash_ratio,n_nulos
I,USD,STD,INDL,C,BLS,2005-12-31,2146,BELLSOUTH CORP,11.0,2005,1040.0,56553.0,427.0,33019.0,2555.0,-4445.0,3058.0,8093.0,3294.0,20547.0,3873.0,3457.0,1798.0,27.1,4813.0,BELLSOUTH,1,17188.0,0.3938774516961114,0.3039272894452991,0.1682484060933469,0.0582462468834544,-0.1346194615221539,48725.8,6.020733967626344,0.3633229006418758,0.0075504394108181,0
I,USD,STD,INDL,C,CELG,2018-12-31,13599,CELGENE CORP,14.0,2018,418.0,35480.0,6042.0,29319.0,2215.0,5010.0,634.0,7098.0,4046.0,15281.0,7762.0,330.0,700.2,64.09,2834.0,CELGENE,1,20270.0,0.4644983967017865,0.5713077790304397,0.0215954453242588,0.1140360766629086,0.170878952215287,44875.81800000001,6.3223186813186825,0.4306933483652762,0.170293122886133,0
I,USD,STD,INDL,C,TWC,2015-12-31,176404,TIME WARNER CABLE INC,11.0,2015,656.0,49277.0,1170.0,40278.0,916.0,-1490.0,3696.0,8138.0,1844.0,23697.0,62.247,4446.0,283.3,185.59,4841.0,TIME WARNER CABLE,1,22502.0,0.3434189981854243,0.4566430586277574,0.1876186859096088,0.0374211092396046,-0.0369928993495208,52577.647,6.460757802899976,0.4808937232380218,0.0237433285305517,1
I,USD,STD,INDL,C,AET,2017-12-31,1177,AETNA INC,11.0,2017,6665.0,55151.0,6190.0,39314.0,6845.0,-1314.0,390.0,5428.0,1904.0,60447.0,10391.0,410.0,326.8,180.39,6324.0,AETNA,1,9159.0,0.0897976739954009,0.1660713314355134,0.0067828014624381,0.0345233993943899,-0.0334232080175001,58951.452,10.860621223286662,1.0960272705843956,0.1122373121067614,0
I,USD,STD,INDL,C,WYE,2008-12-31,1478,WYETH,11.0,2008,1254.369,44031.724,14545.272,24857.882,3646.439,16630.917,1007.574,7953.808,4417.833,22833.908,9882.352,1408.999,1331.554,37.51,2834.0,WYETH,1,11739.258000000002,0.3483331893953501,0.2666090930257466,0.0617064323811762,0.1003329553937065,0.6690399849834351,49946.59054,6.279582124687948,0.5185785594041241,0.3303361912424778,0
I,USD,STD,INDL,C,DTV.2,2014-12-31,12206,DIRECTV,14.0,2014,1584.0,25459.0,4645.0,30287.0,2800.0,1860.0,2943.0,8489.0,2756.0,33260.0,7091.0,3225.0,502.733,86.7,4841.0,DIRECTV,1,20812.0,0.2552315093205051,0.817471228249342,0.0969633193024654,0.1082524843866609,0.0614124872057318,43586.9511,5.134521274590647,1.306414234651793,0.1824502140696806,0
I,USD,STD,INDL,C,MON.1,2017-08-31,140760,MONSANTO CO,11.0,2017,1068.0,21333.0,1864.0,14875.0,2988.0,2253.0,748.0,4167.0,2260.0,14640.0,4543.0,1240.0,439.578,117.2,100.0,MONSANTO CO,1,8124.0,0.2846311475409836,0.3808184502882857,0.0846994535519125,0.1059391552993015,0.1514621848739495,51518.5416,12.363460907127427,0.6862607228237941,0.0873763652557071,0
I,USD,STD,INDL,C,KRFT,2014-12-31,12978,KRAFT FOODS GROUP INC,14.0,2014,1537.0,22947.0,1293.0,18582.0,1080.0,18.0,385.0,2382.0,1043.0,18205.0,2909.0,535.0,587.332,62.66,2000.0,KRAFT FOODS,1,10032.0,0.1308431749519363,0.4371813308929271,0.0293875308981049,0.045452564605395,0.0009686793671294,36802.22312,15.450135650713683,0.7933498932322308,0.0563472349326709,0
I,USD,STD,INDL,C,G.1,2004-12-31,5169,GILLETTE CO,11.0,2004,698.0,10731.0,1066.0,7822.0,1211.0,-135.0,588.0,3167.0,1691.0,10477.0,3700.0,616.0,990.0,44.78,3420.0,GILLETTE CO,1,3386.0,0.3022811873627947,0.3155344329512627,0.0587954567147084,0.1575808405554002,-0.0172590130401431,44332.2,13.998168613830124,0.9763302581306496,0.0993383654831795,0
I,USD,STD,INDL,C,ESRX,2017-12-31,25356,EXPRESS SCRIPTS HOLDING CO,14.0,2017,13944.2,54255.8,2309.6,36130.5,7056.3,-5889.3,1579.4,7208.1,4517.4,100064.6,1688.3,267.4,564.4,74.64,5912.0,EXPRESS SCRIPTS CO,1,16014.4,0.0720344657351351,0.2951647565790201,0.0026722737111825,0.0832611444306415,-0.1630007888072404,42126.816,5.84437174844966,1.8443115759052489,0.0425687207634944,0
I,USD,STD,INDL,C,SGP.1,2008-12-31,9459,SCHERING-PLOUGH,11.0,2008,1677.0,28117.0,3378.0,17588.0,2816.0,5778.0,1173.0,2016.0,1903.0,18502.0,10352.0,747.0,1626.0,17.03,2834.0,SCHERING-PLOUGH,1,8176.0,0.1089611933844989,0.2907849343813351,0.0403740136201491,0.0676814738414482,0.3285194450761883,27690.78,13.735505952380954,0.6580360635914215,0.1201408400611729,0
