costat,curcd,datafmt,indfmt,consol,tic,datadate,gvkey,conm,exchg,fyear,ap,at,che,dlc,dltt,lt,rect,wcap,dp,ebitda,ni,oibdp,sale,xsga,capx,csho,prcc_f,sich,company_clean,ma_target,pb_company,deal_date,deal_size,deal_type2,match_score,pb_industry_code,pb_investors,pb_industry_sector,pb_industry_group,total_debt,ebitda_margin,net_margin,leverage,capex_intensity,roa,current_ratio,market_cap,ev_ebitda,asset_turnover,cash_ratio
I,USD,STD,INDL,C,BLS,2005-12-31,2146,BELLSOUTH CORP,11.0,2005,1040.0,56553.0,427.0,4109.0,13079.0,33019.0,2555.0,-4445.0,3058.0,8093.0,3294.0,8093.0,20547.0,3873.0,3457.0,1798.0,27.1,4813.0,BELLSOUTH,1,BellSouth,29-Dec-2006,"86,000.00",,100.0,Telecommunications Service Providers,AT&T (NYS: T) (Edward Whiteacre),Information Technology,Communications and Networking,17188.0,0.3938774516961114,0.16031537450722733,0.3039272894452991,0.16824840609334696,0.05824624688345446,-0.1346194615221539,48725.8,6.020733967626344,0.3633229006418758,0.00755043941081817
I,USD,STD,INDL,C,CELG,2018-12-31,13599,CELGENE CORP,14.0,2018,418.0,35480.0,6042.0,501.0,19769.0,29319.0,2215.0,5010.0,634.0,7098.0,4046.0,7098.0,15281.0,7762.0,330.0,700.2,64.09,2834.0,CELGENE,1,Celgene,20-Nov-2019,"80,269.00",,100.0,Drug Discovery,Bristol-Myers Squibb (NYS: BMY) (Giovanni Caforio),Healthcare,Pharmaceuticals and Biotechnology,20270.0,0.46449839670178655,0.2647732478240953,0.5713077790304397,0.021595445324258885,0.11403607666290869,0.170878952215287,44875.81800000001,6.3223186813186825,0.43069334836527623,0.17029312288613302
I,USD,STD,INDL,C,TWC,2015-12-31,176404,TIME WARNER CABLE INC,11.0,2015,656.0,49277.0,1170.0,5.0,22497.0,40278.0,916.0,-1490.0,3696.0,8138.0,1844.0,8138.0,23697.0,,4446.0,283.3,185.59,4841.0,TIME WARNER CABLE,1,Time Warner Cable,18-May-2016,"78,000.00",,100.0,Cable Service Providers,Charter Communications (NAS: CHTR) (Thomas Rutledge),Information Technology,Communications and Networking,22502.0,0.3434189981854243,0.07781575726885259,0.4566430586277574,0.1876186859096088,0.037421109239604684,-0.03699289934952083,52577.647000000004,6.460757802899976,0.4808937232380218,0.023743328530551777
I,USD,STD,INDL,C,AET,2017-12-31,1177,AETNA INC,11.0,2017,6665.0,55151.0,6190.0,999.0,8160.0,39314.0,6845.0,-1314.0,390.0,5428.0,1904.0,5428.0,60447.0,10391.0,410.0,326.8,180.39,6324.0,AETNA,1,Aetna,28-Nov-2018,"70,000.00",,100.0,Managed Care,CVS Health (NYS: CVS) (Larry Merlo),Healthcare,Healthcare Services,9159.0,0.08979767399540092,0.031498668254834813,0.16607133143551342,0.006782801462438169,0.03452339939438995,-0.03342320801750013,58951.452,10.860621223286662,1.0960272705843956,0.11223731210676144
I,USD,STD,INDL,C,WYE,2008-12-31,1478,WYETH,11.0,2008,1254.369,44031.724,14545.272,913.245,10826.013,24857.882,3646.439,16630.917,1007.574,7953.808,4417.833,7953.808,22833.908,9882.352,1408.999,1331.554,37.51,2834.0,WYETH,1,Wyeth,15-Oct-2009,"68,000.00",,100.0,Pharmaceuticals,Pfizer (Pharmaceuticals) (NYS: PFE) (Jeffrey Kindler),Healthcare,Pharmaceuticals and Biotechnology,11739.258000000002,0.34833318939535013,0.19347686782306384,0.26660909302574665,0.06170643238117628,0.10033295539370658,0.6690399849834351,49946.59054,6.2795821246879475,0.5185785594041241,0.3303361912424778
I,USD,STD,INDL,C,DTV.2,2014-12-31,12206,DIRECTV,14.0,2014,1584.0,25459.0,4645.0,1327.0,19485.0,30287.0,2800.0,1860.0,2943.0,8489.0,2756.0,8489.0,33260.0,7091.0,3225.0,502.733,86.7,4841.0,DIRECTV,1,DirecTV,24-Jul-2015,"67,100.00",Public to Private,100.0,"Broadcasting, Radio and Television",AT&T (NYS: T) (Randall Stephenson),Consumer Products and Services (B2C),Media,20812.0,0.2552315093205051,0.08286229705351773,0.817471228249342,0.09696331930246542,0.10825248438666091,0.06141248720573183,43586.9511,5.1345212745906466,1.306414234651793,0.18245021406968065
I,USD,STD,INDL,C,MON.1,2017-08-31,140760,MONSANTO CO,11.0,2017,1068.0,21333.0,1864.0,870.0,7254.0,14875.0,2988.0,2253.0,748.0,4167.0,2260.0,4167.0,14640.0,4543.0,1240.0,439.578,117.2,100.0,MONSANTO CO,1,Monsanto,07-Jun-2018,"63,000.00",,84.21052631578947,Other Agriculture,Bayer (Conglomerates) (ETR: BAYN) (Werner Baumann),Materials and Resources,Agriculture,8124.0,0.2846311475409836,0.15437158469945356,0.38081845028828576,0.08469945355191257,0.10593915529930155,0.15146218487394958,51518.5416,12.363460907127429,0.6862607228237941,0.08737636525570712
I,USD,STD,INDL,C,KRFT,2014-12-31,12978,KRAFT FOODS GROUP INC,14.0,2014,1537.0,22947.0,1293.0,1405.0,8627.0,18582.0,1080.0,18.0,385.0,2382.0,1043.0,2382.0,18205.0,2909.0,535.0,587.332,62.66,2000.0,KRAFT FOODS,1,Kraft Foods Group,02-Jul-2015,"55,000.00",,100.0,Food Products,The Kraft Heinz (NAS: KHC) (Alexandre Behring),Consumer Products and Services (B2C),Consumer Non-Durables,10032.0,0.1308431749519363,0.057291952760230705,0.43718133089292716,0.029387530898104915,0.04545256460539504,0.0009686793671294801,36802.223119999995,15.450135650713683,0.7933498932322308,0.056347234932670937
I,USD,STD,INDL,C,G.1,2004-12-31,5169,GILLETTE CO,11.0,2004,698.0,10731.0,1066.0,1244.0,2142.0,7822.0,1211.0,-135.0,588.0,3167.0,1691.0,3167.0,10477.0,3700.0,616.0,990.0,44.78,3420.0,GILLETTE CO,1,Gillette,01-Oct-2005,"53,430.00",,84.21052631578947,Personal Products,Procter & Gamble (NYS: PG),Consumer Products and Services (B2C),Consumer Non-Durables,3386.0,0.3022811873627947,0.1614011644554739,0.3155344329512627,0.058795456714708406,0.15758084055540025,-0.017259013040143188,44332.200000000004,13.998168613830124,0.9763302581306496,0.09933836548317958
I,USD,STD,INDL,C,ESRX,2017-12-31,25356,EXPRESS SCRIPTS HOLDING CO,14.0,2017,13944.2,54255.8,2309.6,1032.9,14981.5,36130.5,7056.3,-5889.3,1579.4,7208.1,4517.4,7208.1,100064.6,1688.3,267.4,564.4,74.64,5912.0,EXPRESS SCRIPTS CO,1,Express Scripts,20-Dec-2018,"52,810.00",,90.9090909090909,Other Healthcare Services,The Cigna Group (NYS: CI) (David Cordani),Healthcare,Healthcare Services,16014.4,0.0720344657351351,0.045144836435662555,0.2951647565790201,0.0026722737111825757,0.0832611444306415,-0.16300078880724042,42126.816,5.84437174844966,1.8443115759052489,0.042568720763494404
