pb_company,comp_company,gvkey,tic,match_score,deal_date,deal_year,deal_size,deal_type2,pb_industry_code,pb_investors,pb_industry_sector,pb_industry_group
BellSouth,BELLSOUTH CORP,2146,BLS,100.0,29-Dec-2006,2006,"86,000.00",,Telecommunications Service Providers,AT&T (NYS: T) (Edward Whiteacre),Information Technology,Communications and Networking
Celgene,CELGENE CORP,13599,CELG,100.0,20-Nov-2019,2019,"80,269.00",,Drug Discovery,Bristol-Myers Squibb (NYS: BMY) (Giovanni Caforio),Healthcare,Pharmaceuticals and Biotechnology
Time Warner Cable,TIME WARNER CABLE INC,176404,TWC,100.0,18-May-2016,2016,"78,000.00",,Cable Service Providers,Charter Communications (NAS: CHTR) (Thomas Rutledge),Information Technology,Communications and Networking
Aetna,AETNA INC,1177,AET,100.0,28-Nov-2018,2018,"70,000.00",,Managed Care,CVS Health (NYS: CVS) (Larry Merlo),Healthcare,Healthcare Services
Wyeth,WYETH,1478,WYE,100.0,15-Oct-2009,2009,"68,000.00",,Pharmaceuticals,Pfizer (Pharmaceuticals) (NYS: PFE) (Jeffrey Kindler),Healthcare,Pharmaceuticals and Biotechnology
DirecTV,DIRECTV,12206,DTV.2,100.0,24-Jul-2015,2015,"67,100.00",Public to Private,"Broadcasting, Radio and Television",AT&T (NYS: T) (Randall Stephenson),Consumer Products and Services (B2C),Media
Monsanto,MONSANTO CO,140760,MON.1,84.21052631578947,07-Jun-2018,2018,"63,000.00",,Other Agriculture,Bayer (Conglomerates) (ETR: BAYN) (Werner Baumann),Materials and Resources,Agriculture
Kraft Foods Group,KRAFT FOODS GROUP INC,12978,KRFT,100.0,02-Jul-2015,2015,"55,000.00",,Food Products,The Kraft Heinz (NAS: KHC) (Alexandre Behring),Consumer Products and Services (B2C),Consumer Non-Durables
Gillette,GILLETTE CO,5169,G.1,84.21052631578947,01-Oct-2005,2005,"53,430.00",,Personal Products,Procter & Gamble (NYS: PG),Consumer Products and Services (B2C),Consumer Non-Durables
Express Scripts,EXPRESS SCRIPTS HOLDING CO,25356,ESRX,90.9090909090909,20-Dec-2018,2018,"52,810.00",,Other Healthcare Services,The Cigna Group (NYS: CI) (David Cordani),Healthcare,Healthcare Services
Schering-Plough,SCHERING-PLOUGH,9459,SGP.1,100.0,03-Nov-2009,2009,"49,572.00",,Pharmaceuticals,Merck & Co. (NYS: MRK) (Richard Clark),Healthcare,Pharmaceuticals and Biotechnology
Reynolds American,REYNOLDS AMERICAN INC,120877,RAI,100.0,25-Jul-2017,2017,"49,000.00",,Other Consumer Non-Durables,British American Tobacco (LON: BATS) (Nicandro Durante),Consumer Products and Services (B2C),Consumer Non-Durables
Worldpay,WORLDPAY INC,194956,WP,100.0,31-Jul-2019,2019,"48,245.00",Public to Private,Financial Software,Fidelity National Information Services (NYS: FIS) (Gary Norcross),Information Technology,Software
Praxair,PAXAR CORP,8293,PXR.1,83.33333333333334,31-Oct-2018,2018,"43,288.00",,Energy Transportation,Linde (NAS: LIN),Energy,Energy Services
XTO Energy,XTO ENERGY INC,28256,XTO,100.0,25-Jun-2010,2010,"41,000.00",,Energy Exploration,Exxon Mobil (NYS: XOM) (Rex Tillerson),Energy,"Exploration, Production and Refining"
Sprint,SPRINT CORP,10984,S.4,100.0,01-Apr-2020,2020,"40,827.00",,Telecommunications Service Providers,T-Mobile US (NAS: TMUS) (John Legere),Information Technology,Communications and Networking
First Data,FIRST DATA CORP,25157,FDC,100.0,29-Jul-2019,2019,"38,279.38",,Financial Software,Fiserv (NAS: FISV) (Jeffery Yabuki),Information Technology,Software
El Paso,EL PASO CORP,4242,EP.1,100.0,24-May-2012,2012,"38,000.00",,Energy Transportation,Kinder Morgan (NYS: KMI),Energy,Energy Services
Precision Castparts,PRECISION CASTPARTS CORP,8717,PCP,100.0,29-Jan-2016,2016,"37,200.00",,Industrial Supplies and Parts,Berkshire Hathaway (NYS: BRK.A) (Warren Buffett),Business Products and Services (B2B),Commercial Products
Broadcom,BROADCOM CORP,66708,BRCM,100.0,01-Feb-2016,2016,"37,000.00",,General Purpose Semiconductors,Broadcom (General Purpose Semiconductors) (NAS: AVGO) (Anthony Maslowski),Information Technology,Semiconductors
L3 Technologies,L3 TECHNOLOGIES INC,110685,LLL.1,100.0,29-Jun-2019,2019,"37,000.00",,Aerospace and Defense,L3 Harris Technologies (NYS: LHX) (William Brown),Business Products and Services (B2B),Commercial Products
Anadarko Petroleum,ANADARKO PETROLEUM CORP,11923,APC.1,100.0,08-Aug-2019,2019,"35,704.00",,Energy Exploration,Occidental Petroleum (NYS: OXY) (Vicki Hollub),Energy,"Exploration, Production and Refining"
Level 3 Communications,LEVEL 3 COMMUNICATIONS INC,13440,LVLT,100.0,01-Nov-2017,2017,"34,000.00",,Systems and Information Management,Lumen Technologies (NYS: LUMN) (Glen Post),Information Technology,IT Services
Red Hat,RED HAT INC,122841,RHT,100.0,09-Jul-2019,2019,"34,000.00",,Systems and Information Management,International Business Machines (NYS: IBM) (Arvind Krishna),Information Technology,IT Services
SunTrust Bank,SUNTRUST BANKS INC,10187,STI.1,96.2962962962963,06-Dec-2019,2019,"33,547.00",,National Banks,Truist Financial (NYS: TFC) (William Rogers),Financial Services,Commercial Banks
Raytheon,RAYTHEON CO,8972,RTN,84.21052631578947,03-Apr-2020,2020,"33,166.00",,Aerospace and Defense,,Business Products and Services (B2B),Commercial Products
Baxalta,BAXALTA INC,22734,BXLT,100.0,03-Jun-2016,2016,"32,000.00",,Biotechnology,Shire (Ian Karp),Healthcare,Pharmaceuticals and Biotechnology
Medco Health Solutions,MEDCO HEALTH SOLUTIONS INC,7186,MHS,100.0,02-Apr-2012,2012,"29,100.00",,Other Healthcare Services,Express Scripts (George Paz),Healthcare,Healthcare Services
Spectra Energy,SPECTRA ENERGY CORP,176282,SE.7,100.0,27-Feb-2017,2017,"28,633.53",,Energy Transportation,Enbridge (TSE: ENB) (Al Monaco),Energy,Energy Services
Tyco International,TYCO INTERNATIONAL PLC,10787,TYC,100.0,02-Sep-2016,2016,"28,320.00",,Other Hardware,Johnson Controls International (NYS: JCI) (Alex Molinaroli),Information Technology,Computer Hardware
Alltel,ALLTEL CORP,1318,AT.2,100.0,09-Jan-2009,2009,"28,100.00",,Telecommunications Service Providers,Verizon Wireless,Information Technology,Communications and Networking
Forest Laboratories,CORE LABORATORIES INC,61759,CLB,88.88888888888889,01-Jul-2014,2014,"28,000.00",,Pharmaceuticals,Allergan,Healthcare,Pharmaceuticals and Biotechnology
Lorillard,LORILLARD INC,147175,LO,100.0,12-Jun-2015,2015,"27,400.00",,Other Consumer Non-Durables,Reynolds American (Susan Cameron),Consumer Products and Services (B2C),Consumer Non-Durables
LinkedIn,LINKEDIN CORP,186342,LNKD,100.0,08-Dec-2016,2016,"27,131.51",,Social/Platform Software,Microsoft (NAS: MSFT) (Marc Brown),Information Technology,Software
Guidant,GUIDANT CORP,31166,GDT.1,100.0,21-Apr-2006,2006,"27,000.00",,Other Devices and Supplies,Boston Scientific (NYS: BSX),Healthcare,Healthcare Devices and Supplies
